Loading channels: ...working... done
# Name                       Version           Build  Channel             
conda                         4.1.11          py27_1  conda-forge         
conda                         4.1.11          py34_1  conda-forge         
conda                         4.1.11          py35_1  conda-forge         
conda                         4.1.12          py27_0  conda-forge         
conda                         4.1.12          py34_0  conda-forge         
conda                         4.1.12          py35_0  conda-forge         
conda                         4.2.13          py27_0  conda-forge         
conda                         4.2.13          py34_0  conda-forge         
conda                         4.2.13          py35_0  conda-forge         
conda                         4.2.13          py36_0  conda-forge         
conda                         4.3.21          py27_0  conda-forge         
conda                         4.3.21          py27_1  conda-forge         
conda                         4.3.21          py35_0  conda-forge         
conda                         4.3.21          py35_1  conda-forge         
conda                         4.3.21          py36_0  conda-forge         
conda                         4.3.21          py36_1  conda-forge         
conda                         4.3.22          py27_0  conda-forge         
conda                         4.3.22          py35_0  conda-forge         
conda                         4.3.22          py36_0  conda-forge         
conda                         4.3.23          py27_0  conda-forge         
conda                         4.3.23          py35_0  conda-forge         
conda                         4.3.23          py36_0  conda-forge         
conda                         4.3.24          py27_0  conda-forge         
conda                         4.3.24          py35_0  conda-forge         
conda                         4.3.24          py36_0  conda-forge         
conda                         4.3.27          py27_0  conda-forge         
conda                         4.3.27  py27hcd9d231_0  pkgs/main           
conda                         4.3.27          py35_0  conda-forge         
conda                         4.3.27  py35h5e3481d_0  pkgs/main           
conda                         4.3.27          py36_0  conda-forge         
conda                         4.3.27  py36hcbae3bd_0  pkgs/main           
conda                         4.3.29          py27_0  conda-forge         
conda                         4.3.29  py27hb214554_0  pkgs/main           
conda                         4.3.29  py34h479681e_0  pkgs/main           
conda                         4.3.29          py35_0  conda-forge         
conda                         4.3.29  py35hc07314a_0  pkgs/main           
conda                         4.3.29          py36_0  conda-forge         
conda                         4.3.29  py36h7c1b203_0  pkgs/main           
conda                         4.3.30  py27he817781_0  pkgs/main           
conda                         4.3.30  py34h3ba59da_0  pkgs/main           
conda                         4.3.30  py35hec795fb_0  pkgs/main           
conda                         4.3.30  py36h7e176b0_0  pkgs/main           
conda                         4.3.31          py27_0  conda-forge         
conda                         4.3.31          py27_0  pkgs/main           
conda                         4.3.31          py35_0  conda-forge         
conda                         4.3.31          py35_0  pkgs/main           
conda                         4.3.31          py36_0  conda-forge         
conda                         4.3.31          py36_0  pkgs/main           
conda                         4.3.32          py27_0  conda-forge         
conda                         4.3.32          py27_0  pkgs/main           
conda                         4.3.32          py35_0  conda-forge         
conda                         4.3.32          py35_0  pkgs/main           
conda                         4.3.32          py36_0  conda-forge         
conda                         4.3.32          py36_0  pkgs/main           
conda                         4.3.33          py27_0  conda-forge         
conda                         4.3.33          py27_0  pkgs/main           
conda                         4.3.33          py35_0  conda-forge         
conda                         4.3.33          py35_0  pkgs/main           
conda                         4.3.33          py36_0  conda-forge         
conda                         4.3.33          py36_0  pkgs/main           
conda                         4.3.34          py27_0  conda-forge         
conda                         4.3.34          py27_0  pkgs/main           
conda                         4.3.34          py35_0  conda-forge         
conda                         4.3.34          py35_0  pkgs/main           
conda                         4.3.34          py36_0  conda-forge         
conda                         4.3.34          py36_0  pkgs/main           
conda                          4.4.0          py27_0  pkgs/main           
conda                          4.4.0          py35_0  pkgs/main           
conda                          4.4.0          py36_0  pkgs/main           
conda                          4.4.1          py27_0  pkgs/main           
conda                          4.4.1          py35_0  pkgs/main           
conda                          4.4.1          py36_0  pkgs/main           
conda                          4.4.2          py27_0  pkgs/main           
conda                          4.4.2          py35_0  pkgs/main           
conda                          4.4.2          py36_0  pkgs/main           
conda                          4.4.3          py27_0  pkgs/main           
conda                          4.4.3          py35_0  pkgs/main           
conda                          4.4.3          py36_0  pkgs/main           
conda                          4.4.4          py27_0  pkgs/main           
conda                          4.4.4          py35_0  pkgs/main           
conda                          4.4.4          py36_0  pkgs/main           
conda                          4.4.6          py27_0  pkgs/main           
conda                          4.4.6          py35_0  pkgs/main           
conda                          4.4.6          py36_0  pkgs/main           
conda                          4.4.7          py27_0  pkgs/main           
conda                          4.4.7          py35_0  pkgs/main           
conda                          4.4.7          py36_0  pkgs/main           
conda                          4.4.8          py27_0  pkgs/main           
conda                          4.4.8          py35_0  pkgs/main           
conda                          4.4.8          py36_0  pkgs/main           
conda                          4.4.9          py27_0  pkgs/main           
conda                          4.4.9          py35_0  pkgs/main           
conda                          4.4.9          py36_0  pkgs/main           
conda                         4.4.10          py27_0  pkgs/main           
conda                         4.4.10          py35_0  pkgs/main           
conda                         4.4.10          py36_0  pkgs/main           
conda                         4.4.11          py27_0  pkgs/main           
conda                         4.4.11          py35_0  pkgs/main           
conda                         4.4.11          py36_0  pkgs/main           
conda                          4.5.0          py27_0  conda-forge         
conda                          4.5.0          py27_0  pkgs/main           
conda                          4.5.0          py35_0  conda-forge         
conda                          4.5.0          py35_0  pkgs/main           
conda                          4.5.0          py36_0  conda-forge         
conda                          4.5.0          py36_0  pkgs/main           
conda                          4.5.1          py27_0  conda-forge         
conda                          4.5.1          py27_0  pkgs/main           
conda                          4.5.1          py35_0  conda-forge         
conda                          4.5.1          py35_0  pkgs/main           
conda                          4.5.1          py36_0  conda-forge         
conda                          4.5.1          py36_0  pkgs/main           
conda                          4.5.2          py27_0  conda-forge         
conda                          4.5.2          py27_0  pkgs/main           
conda                          4.5.2          py35_0  conda-forge         
conda                          4.5.2          py35_0  pkgs/main           
conda                          4.5.2          py36_0  conda-forge         
conda                          4.5.2          py36_0  pkgs/main           
conda                          4.5.3          py27_0  conda-forge         
conda                          4.5.3          py27_0  pkgs/main           
conda                          4.5.3          py35_0  conda-forge         
conda                          4.5.3          py35_0  pkgs/main           
conda                          4.5.3          py36_0  conda-forge         
conda                          4.5.3          py36_0  pkgs/main           
conda                          4.5.4          py27_0  conda-forge         
conda                          4.5.4          py27_0  pkgs/main           
conda                          4.5.4          py35_0  conda-forge         
conda                          4.5.4          py35_0  pkgs/main           
conda                          4.5.4          py36_0  conda-forge         
conda                          4.5.4          py36_0  pkgs/main           
conda                          4.5.5          py27_0  conda-forge         
conda                          4.5.5          py27_0  pkgs/main           
conda                          4.5.5          py35_0  conda-forge         
conda                          4.5.5          py35_0  pkgs/main           
conda                          4.5.5          py36_0  conda-forge         
conda                          4.5.5          py36_0  pkgs/main           
conda                          4.5.6          py27_0  conda-forge         
conda                          4.5.6          py35_0  conda-forge         
conda                          4.5.6          py36_0  conda-forge         
conda                          4.5.8          py27_0  conda-forge         
conda                          4.5.8          py27_0  pkgs/main           
conda                          4.5.8          py27_1  conda-forge         
conda                          4.5.8          py35_0  conda-forge         
conda                          4.5.8          py35_0  pkgs/main           
conda                          4.5.8          py35_1  conda-forge         
conda                          4.5.8          py36_0  conda-forge         
conda                          4.5.8          py36_0  pkgs/main           
conda                          4.5.8          py36_1  conda-forge         
conda                          4.5.8          py37_0  pkgs/main           
conda                          4.5.9          py27_0  conda-forge         
conda                          4.5.9          py27_0  pkgs/main           
conda                          4.5.9          py35_0  conda-forge         
conda                          4.5.9          py35_0  pkgs/main           
conda                          4.5.9          py36_0  conda-forge         
conda                          4.5.9          py36_0  pkgs/main           
conda                         4.5.10          py27_0  conda-forge         
conda                         4.5.10          py27_0  pkgs/main           
conda                         4.5.10          py27_1  conda-forge         
conda                         4.5.10          py35_0  conda-forge         
conda                         4.5.10          py35_0  pkgs/main           
conda                         4.5.10          py35_1  conda-forge         
conda                         4.5.10          py36_0  conda-forge         
conda                         4.5.10          py36_0  pkgs/main           
conda                         4.5.10          py36_1  conda-forge         
conda                         4.5.10          py37_0  pkgs/main           
conda                         4.5.11          py27_0  conda-forge         
conda                         4.5.11          py27_0  pkgs/main           
conda                         4.5.11       py27_1000  conda-forge         
conda                         4.5.11          py35_0  conda-forge         
conda                         4.5.11          py35_0  pkgs/main           
conda                         4.5.11          py36_0  conda-forge         
conda                         4.5.11          py36_0  pkgs/main           
conda                         4.5.11       py36_1000  conda-forge         
conda                         4.5.11          py37_0  pkgs/main           
conda                         4.5.11       py37_1000  conda-forge         
conda                         4.5.12          py27_0  pkgs/main           
conda                         4.5.12       py27_1000  conda-forge         
conda                         4.5.12          py36_0  pkgs/main           
conda                         4.5.12       py36_1000  conda-forge         
conda                         4.5.12          py37_0  pkgs/main           
conda                         4.5.12       py37_1000  conda-forge         
conda                         4.5.13          py27_0  pkgs/main           
conda                         4.5.13          py36_0  pkgs/main           
conda                         4.5.13          py37_0  pkgs/main           
