Loading channels: ...working... done
# Name                       Version           Build  Channel             
numpy                          1.9.3  py27he0c0ee4_6  pkgs/main           
numpy                          1.9.3  py27he0c0ee4_7  pkgs/main           
numpy                          1.9.3  py27he78448b_2  pkgs/main           
numpy                          1.9.3  py35h0e52b17_2  pkgs/main           
numpy                          1.9.3  py35hd5b3723_7  pkgs/main           
numpy                          1.9.3  py36hd5b3723_5  pkgs/main           
numpy                          1.9.3  py36hd5b3723_6  pkgs/main           
numpy                          1.9.3  py36hd5b3723_7  pkgs/main           
numpy                          1.9.3  py37hd5b3723_5  pkgs/main           
numpy                          1.9.3  py37hd5b3723_6  pkgs/main           
numpy                          1.9.3  py37hd5b3723_7  pkgs/main           
numpy                         1.11.3 py27h239e66a_11  pkgs/main           
numpy                         1.11.3 py27h239e66a_12  pkgs/main           
numpy                         1.11.3 py27hab51878_1207  conda-forge         
numpy                         1.11.3  py27hab9e983_3  pkgs/main           
numpy                         1.11.3  py27hc2d41ba_9  pkgs/main           
numpy                         1.11.3 py27hc42714f_10  pkgs/main           
numpy                         1.11.3  py27he0c0ee4_7  pkgs/main           
numpy                         1.11.3  py27he0c0ee4_8  pkgs/main           
numpy                         1.11.3  py27he0c0ee4_9  pkgs/main           
numpy                         1.11.3  py27hfef472a_4  pkgs/main           
numpy                         1.11.3  py35h4a99626_4  pkgs/main           
numpy                         1.11.3  py35h4fc39be_3  pkgs/main           
numpy                         1.11.3 py35h53ece5f_10  pkgs/main           
numpy                         1.11.3  py35h6707678_9  pkgs/main           
numpy                         1.11.3  py35hd5b3723_8  pkgs/main           
numpy                         1.11.3  py35hd5b3723_9  pkgs/main           
numpy                         1.11.3 py36h0aa5519_11  pkgs/main           
numpy                         1.11.3 py36h35d8231_12  pkgs/main           
numpy                         1.11.3  py36h4a99626_4  pkgs/main           
numpy                         1.11.3 py36h53ece5f_10  pkgs/main           
numpy                         1.11.3 py36h53ece5f_11  pkgs/main           
numpy                         1.11.3  py36h6707678_9  pkgs/main           
numpy                         1.11.3 py36h873a0b8_1207  conda-forge         
numpy                         1.11.3  py36hb60be0b_3  pkgs/main           
numpy                         1.11.3  py36hd5b3723_7  pkgs/main           
numpy                         1.11.3  py36hd5b3723_8  pkgs/main           
numpy                         1.11.3  py36hd5b3723_9  pkgs/main           
numpy                         1.11.3 py37h0aa5519_11  pkgs/main           
numpy                         1.11.3 py37h35d8231_12  pkgs/main           
numpy                         1.11.3 py37h53ece5f_10  pkgs/main           
numpy                         1.11.3 py37h53ece5f_11  pkgs/main           
numpy                         1.11.3  py37h6707678_9  pkgs/main           
numpy                         1.11.3 py37h873a0b8_1207  conda-forge         
numpy                         1.11.3  py37hd5b3723_7  pkgs/main           
numpy                         1.11.3  py37hd5b3723_8  pkgs/main           
numpy                         1.11.3  py37hd5b3723_9  pkgs/main           
numpy                         1.11.3 py38h35d8231_12  pkgs/main           
numpy                         1.12.1  py27hd776778_1  pkgs/main           
numpy                         1.12.1  py35h02c1717_1  pkgs/main           
numpy                         1.12.1  py36hf30b8aa_1  pkgs/main           
numpy                         1.13.1  py27h0f1b411_2  pkgs/main           
numpy                         1.13.1  py35h9801081_2  pkgs/main           
numpy                         1.13.1  py36haf1bc54_2  pkgs/main           
numpy                         1.13.3  py27h0bb1d87_4  pkgs/main           
numpy                         1.13.3  py27h9ac254c_0  pkgs/main           
numpy                         1.13.3  py27hda5cba4_3  pkgs/main           
numpy                         1.13.3  py27hfef472a_2  pkgs/main           
numpy                         1.13.3  py35h4a99626_2  pkgs/main           
numpy                         1.13.3  py35h5c71026_4  pkgs/main           
numpy                         1.13.3  py35hb69e940_3  pkgs/main           
numpy                         1.13.3  py35hb7e80fb_0  pkgs/main           
numpy                         1.13.3  py36h4a99626_2  pkgs/main           
numpy                         1.13.3  py36h5c71026_4  pkgs/main           
numpy                         1.13.3  py36ha320f96_0  pkgs/main           
numpy                         1.13.3  py36hb69e940_3  pkgs/main           
numpy                         1.13.3  py38h53689ba_4  pkgs/main           
numpy                         1.14.0  py27hda5cba4_2  pkgs/main           
numpy                         1.14.0  py27hfef472a_0  pkgs/main           
numpy                         1.14.0  py27hfef472a_1  pkgs/main           
numpy                         1.14.0 py35_blas_openblas_200  conda-forge         
numpy                         1.14.0  py35h4a99626_0  pkgs/main           
numpy                         1.14.0  py35h4a99626_1  pkgs/main           
numpy                         1.14.0  py35hb69e940_2  pkgs/main           
numpy                         1.14.0 py36_blas_openblas_200  conda-forge         
numpy                         1.14.0  py36h4a99626_0  pkgs/main           
numpy                         1.14.0  py36h4a99626_1  pkgs/main           
numpy                         1.14.0  py36hb69e940_2  pkgs/main           
numpy                         1.14.1  py27hda5cba4_2  pkgs/main           
numpy                         1.14.1  py27hfef472a_1  pkgs/main           
numpy                         1.14.1 py35_blas_openblas_200  conda-forge         
numpy                         1.14.1  py35h4a99626_1  pkgs/main           
numpy                         1.14.1  py35hb69e940_2  pkgs/main           
numpy                         1.14.1 py36_blas_openblas_200  conda-forge         
numpy                         1.14.1  py36h4a99626_1  pkgs/main           
numpy                         1.14.1  py36hb69e940_2  pkgs/main           
numpy                         1.14.2  py27h0bb1d87_0  pkgs/main           
numpy                         1.14.2  py27h0bb1d87_1  pkgs/main           
numpy                         1.14.2 py35_blas_openblas_200  conda-forge         
numpy                         1.14.2  py35h5c71026_0  pkgs/main           
numpy                         1.14.2  py35h5c71026_1  pkgs/main           
numpy                         1.14.2 py36_blas_openblas_200  conda-forge         
numpy                         1.14.2  py36h5c71026_0  pkgs/main           
numpy                         1.14.2  py36h5c71026_1  pkgs/main           
numpy                         1.14.3  py27h911edcf_1  pkgs/main           
numpy                         1.14.3 py35_blas_openblas_200  conda-forge         
numpy                         1.14.3  py35h9fa60d3_1  pkgs/main           
numpy                         1.14.3 py36_blas_openblas_200  conda-forge         
numpy                         1.14.3  py36h9fa60d3_1  pkgs/main           
numpy                         1.14.4  py27h911edcf_0  pkgs/main           
numpy                         1.14.4 py35_blas_openblash39e3cac_200  conda-forge         
numpy                         1.14.4  py35h9fa60d3_0  pkgs/main           
numpy                         1.14.4 py36_blas_openblash39e3cac_200  conda-forge         
numpy                         1.14.4  py36h9fa60d3_0  pkgs/main           
numpy                         1.14.5  py27h911edcf_0  pkgs/main           
numpy                         1.14.5  py27h911edcf_1  pkgs/main           
numpy                         1.14.5  py27h911edcf_2  pkgs/main           
numpy                         1.14.5  py27h911edcf_3  pkgs/main           
numpy                         1.14.5  py27h911edcf_4  pkgs/main           
numpy                         1.14.5 py35_blas_openblash39e3cac_200  conda-forge         
numpy                         1.14.5 py35_blas_openblash8d851b4_200  conda-forge         
numpy                         1.14.5 py35_blas_openblash8d851b4_201  conda-forge         
numpy                         1.14.5 py35_blas_openblash9ffbfb8_202  conda-forge         
numpy                         1.14.5  py35h9fa60d3_0  pkgs/main           
numpy                         1.14.5  py35h9fa60d3_4  pkgs/main           
numpy                         1.14.5 py36_blas_openblash39e3cac_200  conda-forge         
numpy                         1.14.5 py36_blas_openblash8d851b4_200  conda-forge         
numpy                         1.14.5 py36_blas_openblash8d851b4_201  conda-forge         
numpy                         1.14.5 py36_blas_openblash9ffbfb8_202  conda-forge         
numpy                         1.14.5  py36h9fa60d3_0  pkgs/main           
